shot_id,player_id,game_id,shot_type,result,minutes_remaining,seconds_remaining
109,1629060,21900003,2PT,made,1,18
110,1629060,21900003,2PT,missed,4,14
111,1629060,21900003,FT,missed,11,42
112,1631101,21900003,2PT,missed,11,45
113,1631101,21900003,FT,made,5,54
114,1631248,21900003,2PT,made,7,44
115,1631248,21900003,FT,missed,8,56
116,1631248,21900003,3PT,made,4,56
117,1631248,21900003,3PT,missed,8,36
118,1631248,21900003,3PT,missed,0,37
119,1642349,21900456,2PT,missed,4,19
120,1642349,21900456,2PT,made,11,56
121,1642349,21900456,3PT,made,5,21
122,1642349,21900456,FT,missed,10,24
123,1642349,21900456,3PT,made,0,37
124,1631197,21900456,3PT,made,0,30
125,1631197,21900456,2PT,missed,0,48
126,1642382,21900456,3PT,made,3,21
127,1642382,21900456,2PT,made,6,14
128,1642382,21900456,3PT,made,5,41
129,1630695,21900456,2PT,made,11,38
130,1630695,21900456,2PT,made,4,5
131,1630695,21900456,FT,missed,9,55
132,1642385,21900456,FT,made,9,28
133,1642385,21900456,2PT,made,0,13
134,1642385,21900456,FT,made,4,29
135,1630165,21900456,2PT,missed,11,3
136,1630165,21900456,FT,missed,7,58
137,1630165,21900456,FT,made,7,46
138,1630165,21900456,FT,made,1,38
139,1629675,21900456,2PT,made,1,28
140,1629675,21900456,2PT,made,0,10
141,1629675,21900456,FT,made,10,45
142,203084,21900456,2PT,missed,10,4
143,203084,21900456,3PT,made,7,18
144,203084,21900456,2PT,missed,10,37
145,203084,21900456,FT,made,6,5
146,203084,21900456,2PT,missed,8,2
147,1629130,21900456,2PT,made,10,46
148,1629130,21900456,2PT,missed,6,9
149,1629130,21900456,3PT,missed,4,53
150,1627814,21900456,2PT,made,11,35
151,1627814,21900456,FT,made,2,8
152,1627814,21900456,FT,missed,3,30
153,1627759,22000443,FT,missed,0,6
154,1627759,22000443,FT,made,1,33
155,1627759,22000443,2PT,made,10,58
156,1627759,22000443,3PT,missed,10,31
157,1630208,22000443,FT,missed,6,30
158,1630208,22000443,3PT,made,8,36
159,1630208,22000443,FT,missed,1,49
160,1630208,22000443,3PT,missed,4,25
161,1630208,22000443,FT,missed,1,12
162,1630557,22000443,FT,missed,1,34
163,1630557,22000443,FT,made,6,23
164,1630557,22000443,3PT,made,6,11
165,1630557,22000443,FT,missed,10,43
166,1631243,22000443,3PT,made,2,22
167,1631243,22000443,3PT,made,8,39
168,1631243,22000443,3PT,made,10,31
169,1631243,22000443,2PT,made,10,14
170,1631243,22000443,3PT,made,3,9
171,1627742,22000443,FT,missed,2,35
172,1627742,22000443,2PT,missed,10,51
173,1627742,22000443,2PT,made,3,51
174,1627742,22000443,2PT,made,3,29
175,1627742,22000443,2PT,missed,8,0
176,1641712,22000443,3PT,made,9,54
177,1641712,22000443,FT,missed,6,22
178,1641712,22000443,FT,missed,11,47
179,1641712,22000443,3PT,made,0,49
180,1641712,22000443,FT,made,1,28
181,1642259,22000443,3PT,missed,1,40
182,1629634,22000443,3PT,made,7,3
183,1629634,22000443,3PT,made,1,21
184,1629634,22000443,3PT,made,5,34
185,203957,22000443,FT,missed,2,52
186,203957,22000443,3PT,missed,4,47
187,1641810,22000443,3PT,made,9,26
188,1641810,22000443,3PT,missed,10,51
189,1641810,22000443,2PT,missed,9,40
190,1641810,22000443,FT,made,3,49
191,1641810,22000443,2PT,made,8,39
192,201950,22100961,2PT,made,2,45
193,201950,22100961,2PT,made,10,23
194,201950,22100961,FT,missed,10,9
195,201950,22100961,FT,missed,1,39
196,1630228,22100961,FT,made,2,41
197,1630228,22100961,3PT,made,9,58
198,1630228,22100961,2PT,missed,1,36
199,1631103,22100961,2PT,made,4,59
200,1629674,22100961,3PT,missed,8,14
201,1629674,22100961,FT,made,4,59
202,1629674,22100961,FT,missed,10,48
203,203999,22100961,3PT,made,5,9
204,203999,22100961,2PT,made,7,11
205,203999,22100961,3PT,missed,5,58
206,203999,22100961,2PT,missed,6,59
207,1642278,22100961,3PT,made,1,37
208,1642278,22100961,3PT,made,1,9
209,1642278,22100961,FT,made,4,56
210,1642278,22100961,2PT,missed,2,20
211,203954,22100961,2PT,missed,1,51
212,203954,22100961,FT,missed,8,36
213,203954,22100961,3PT,missed,8,5
214,203954,22100961,3PT,made,4,45
215,1630166,22100961,3PT,made,10,21
216,1630618,22100961,2PT,made,0,3
217,1630618,22100961,3PT,missed,1,5
218,1630618,22100961,3PT,missed,7,2
219,1630618,22100961,FT,made,1,27
220,1641815,22100961,3PT,missed,8,9
221,1641815,22100961,3PT,made,9,51
222,1641815,22100961,2PT,missed,11,39
223,1641815,22100961,2PT,missed,11,54
224,1641815,22100961,FT,made,2,23
225,1629630,22200291,FT,missed,8,40
226,1629630,22200291,3PT,missed,10,26
227,1629630,22200291,FT,missed,3,13
228,1629630,22200291,3PT,missed,3,36
229,204456,22200291,3PT,made,4,6
230,1631303,22200291,3PT,missed,2,22
231,1631303,22200291,FT,missed,11,26
232,1631303,22200291,FT,made,5,12
233,1626204,22200291,3PT,made,10,20
234,1626204,22200291,3PT,made,3,15
235,1626204,22200291,FT,missed,4,42
236,1626204,22200291,2PT,missed,6,40
237,1641733,22200291,2PT,missed,3,29
238,1629674,22200291,FT,missed,8,20
239,1627741,22200291,2PT,missed,11,26
240,1627741,22200291,FT,made,6,50
241,1628978,22200291,2PT,missed,10,50
242,1628978,22200291,2PT,made,4,21
243,1628975,22200291,2PT,made,1,44
244,1628975,22200291,2PT,made,0,40
245,1628975,22200291,2PT,made,4,28
246,1629622,22200291,3PT,missed,5,28
247,1629622,22200291,3PT,made,0,26
248,1629622,22200291,2PT,missed,9,30
249,1629622,22200291,2PT,missed,11,32
250,1629622,22200291,FT,missed,4,31
251,1629673,22200883,3PT,missed,9,3
252,1629673,22200883,FT,missed,4,45
253,1629673,22200883,FT,made,2,1
254,1629673,22200883,2PT,made,7,57
255,1627734,22200883,FT,made,1,1
256,1627734,22200883,2PT,missed,11,29
257,1627734,22200883,2PT,made,9,41
258,1627734,22200883,3PT,made,2,50
259,1627734,22200883,2PT,missed,1,7
260,1642273,22200883,FT,made,0,39
261,1642273,22200883,3PT,missed,10,59
262,1642273,22200883,3PT,missed,3,50
263,1631245,22200883,FT,missed,9,58
264,1631245,22200883,3PT,made,3,50
265,1631245,22200883,FT,missed,4,29
266,1631246,22200883,2PT,made,0,13
267,1631246,22200883,2PT,made,9,53
268,1631246,22200883,3PT,made,9,10
269,1631246,22200883,FT,made,3,29
270,1631246,22200883,3PT,made,3,7
271,1630695,22200883,2PT,missed,2,23
272,1630695,22200883,2PT,made,2,13
273,1631216,22200883,2PT,made,1,15
274,1631216,22200883,FT,missed,3,8
275,1631216,22200883,3PT,made,2,52
276,1631216,22200883,3PT,made,8,16
277,1627749,22200883,2PT,made,9,38
278,1629630,22200883,2PT,missed,1,24
279,1642419,22200883,3PT,missed,2,17
280,1642419,22200883,FT,missed,6,53
281,1642419,22200883,2PT,made,0,7
282,1642419,22200883,3PT,made,0,13
283,1642419,22200883,FT,made,4,38
284,1629130,21900416,2PT,made,4,16
285,1629130,21900416,FT,missed,11,53
286,1629130,21900416,FT,made,1,56
287,1629130,21900416,2PT,made,5,10
288,1630553,21900416,FT,made,8,6
289,1630553,21900416,FT,missed,10,8
290,1630553,21900416,FT,made,5,51
291,1630553,21900416,3PT,made,0,44
292,203994,21900416,FT,missed,2,21
293,203994,21900416,3PT,missed,2,52
294,1642502,21900416,FT,made,0,41
295,203468,21900416,FT,missed,10,30
296,1631255,21900416,3PT,made,1,38
297,1631255,21900416,FT,made,3,46
298,1631255,21900416,FT,made,2,52
299,1631255,21900416,2PT,missed,0,46
300,1631255,21900416,2PT,made,9,36
301,1631099,21900416,FT,missed,6,56
302,203484,21900416,FT,made,3,57
303,203484,21900416,2PT,made,10,46
304,203484,21900416,3PT,made,1,55
305,203484,21900416,3PT,made,3,37
306,203484,21900416,FT,made,9,51
307,1642367,21900416,3PT,made,8,27
308,1642367,21900416,FT,made,9,10
309,1642367,21900416,FT,made,0,53
310,1628408,21900416,2PT,made,0,15
311,1628408,21900416,2PT,missed,6,25
312,1628408,21900416,2PT,missed,11,30
313,1628408,21900416,FT,made,7,53
314,1628408,21900416,FT,missed,4,54
315,1628401,22000077,2PT,made,0,33
316,1628401,22000077,3PT,missed,7,38
317,1628401,22000077,2PT,missed,11,19
318,1630168,22000077,2PT,missed,4,47
319,1626157,22000077,2PT,made,0,55
320,1626157,22000077,FT,made,1,32
321,1629640,22000077,3PT,made,7,42
322,1642285,22000077,3PT,made,5,53
323,1642285,22000077,3PT,made,8,54
324,1642285,22000077,2PT,made,11,33
325,1642285,22000077,2PT,made,5,28
326,203914,22000077,FT,made,10,7
327,203914,22000077,3PT,made,6,5
328,203914,22000077,FT,missed,11,10
329,203914,22000077,3PT,made,2,36
330,203914,22000077,3PT,missed,5,0
331,1630583,22000077,FT,missed,6,58
332,1630583,22000077,FT,missed,11,53
333,202709,22000077,2PT,made,8,36
334,1631209,22000077,3PT,made,6,55
335,1631209,22000077,2PT,missed,5,41
336,1631209,22000077,3PT,made,3,18
337,1631209,22000077,3PT,made,1,45
338,204060,22000077,3PT,made,10,44
339,204060,22000077,3PT,missed,5,47
340,1628380,21900313,3PT,missed,4,49
341,1628380,21900313,FT,missed,10,52
342,1628380,21900313,2PT,made,6,2
343,1628380,21900313,FT,made,3,38
344,1628380,21900313,3PT,missed,8,36
345,203944,21900313,3PT,made,5,51
346,203944,21900313,2PT,made,8,15
347,203944,21900313,2PT,missed,0,29
348,1630296,21900313,3PT,missed,3,27
349,1641740,21900313,3PT,made,5,30
350,1630256,21900313,2PT,missed,0,47
351,1630256,21900313,FT,made,1,18
352,1630245,21900313,FT,missed,9,35
353,1630245,21900313,FT,made,4,11
354,1630245,21900313,FT,made,7,13
355,1630245,21900313,FT,made,1,36
356,1641745,21900313,3PT,missed,9,3
357,1641745,21900313,FT,made,2,38
358,1641745,21900313,3PT,made,1,47
359,1641745,21900313,2PT,missed,8,41
360,1629012,21900313,2PT,missed,6,19
361,1629012,21900313,2PT,missed,1,41
362,1629012,21900313,3PT,made,2,38
363,1629012,21900313,3PT,missed,6,46
364,1629012,21900313,3PT,missed,7,36
365,203109,21900313,3PT,made,0,13
366,203109,21900313,FT,made,6,49
367,203109,21900313,2PT,missed,11,9
368,203109,21900313,2PT,made,9,2
369,203109,21900313,3PT,made,7,18
370,1641787,21900313,FT,missed,1,0
371,1641787,21900313,2PT,missed,4,49
372,1641787,21900313,2PT,missed,4,29
373,1641787,21900313,FT,missed,8,4
374,1626153,22300531,2PT,made,2,59
375,1626153,22300531,2PT,missed,1,19
376,1626153,22300531,2PT,missed,6,49
377,1626153,22300531,3PT,made,0,59
378,1626153,22300531,FT,made,5,30
379,1641783,22300531,FT,missed,7,41
380,1641783,22300531,3PT,made,1,50
381,1641783,22300531,FT,made,10,30
382,1641783,22300531,2PT,missed,4,53
383,1641783,22300531,2PT,missed,8,58
384,203083,22300531,FT,missed,10,36
385,203083,22300531,FT,missed,8,41
386,203083,22300531,FT,made,6,37
387,203083,22300531,2PT,made,9,45
388,1627759,22300531,FT,missed,3,1
389,1627759,22300531,FT,missed,7,28
390,1627759,22300531,2PT,made,8,41
391,1627759,22300531,2PT,missed,10,8
392,1642434,22300531,FT,made,5,22
393,1627777,22300531,2PT,made,3,25
394,203999,22300531,FT,missed,8,7
395,203999,22300531,3PT,made,10,33
396,1630543,22300531,2PT,made,0,31
397,1642389,22300531,FT,made,7,44
398,1641718,22300531,2PT,made,3,42
399,1629750,22000241,3PT,made,8,59
400,1629750,22000241,2PT,made,0,22
401,1629750,22000241,FT,made,10,48
402,1629750,22000241,3PT,missed,1,58
403,1629629,22000241,3PT,missed,2,34
404,1629629,22000241,2PT,made,4,8
405,1641707,22000241,FT,missed,11,35
406,1641707,22000241,3PT,missed,0,51
407,1641707,22000241,3PT,missed,11,47
408,1641707,22000241,3PT,missed,8,13
409,1631306,22000241,3PT,missed,7,24
410,1626166,22000241,3PT,missed,7,57
411,1626166,22000241,3PT,missed,0,3
412,1626166,22000241,FT,missed,2,2
413,1626166,22000241,FT,made,1,23
414,1626166,22000241,3PT,missed,3,40
415,1629643,22000241,FT,missed,5,37
416,1629643,22000241,2PT,missed,7,19
417,1629643,22000241,FT,missed,1,22
418,1629643,22000241,3PT,made,11,41
419,1629643,22000241,3PT,missed,1,15
420,1630527,22000241,FT,made,11,32
421,1630215,22000241,FT,missed,0,55
422,1630215,22000241,2PT,missed,0,16
423,1630215,22000241,2PT,missed,2,45
424,1630215,22000241,2PT,made,4,7
425,1630215,22000241,2PT,made,4,12
426,1641731,22000241,FT,made,4,10
427,1641731,22000241,3PT,made,6,7
428,1641731,22000241,3PT,made,11,31
429,1641731,22000241,FT,made,1,11
430,1641731,22000241,FT,made,11,36
431,1641747,22000241,2PT,missed,1,2
432,1627832,21900374,2PT,made,10,42
433,1627832,21900374,FT,missed,0,45
434,1641764,21900374,2PT,missed,8,52
435,1641764,21900374,FT,made,7,39
436,1641764,21900374,3PT,made,9,53
437,1629628,21900374,2PT,missed,0,17
438,1629628,21900374,FT,made,10,8
439,1629628,21900374,FT,made,7,59
440,1629628,21900374,FT,made,11,54
441,1629628,21900374,2PT,made,8,24
442,1641757,21900374,FT,made,11,38
443,1641757,21900374,FT,made,9,0
444,1641757,21900374,FT,made,10,58
445,1641757,21900374,3PT,missed,7,48
446,1626179,21900374,2PT,missed,10,59
447,1631111,21900374,3PT,missed,8,10
448,1631111,21900374,2PT,missed,5,20
449,1631111,21900374,2PT,missed,3,45
450,1631111,21900374,3PT,made,10,43
451,1630165,21900374,3PT,missed,9,47
452,1630165,21900374,FT,missed,6,36
453,1630165,21900374,FT,missed,9,53
454,1630165,21900374,FT,made,3,17
455,1630165,21900374,2PT,made,3,3
456,1641739,21900374,2PT,missed,10,56
457,1641739,21900374,FT,missed,9,25
458,1641739,21900374,3PT,made,6,32
459,1641739,21900374,2PT,missed,6,9
460,1641739,21900374,3PT,missed,9,37
461,203937,21900374,2PT,missed,1,23
462,203937,21900374,2PT,made,1,48
463,203501,21900374,3PT,made,0,25
464,203501,21900374,2PT,made,1,31
465,1631311,22101151,FT,missed,4,48
466,1641854,22101151,FT,made,10,3
467,1641854,22101151,3PT,made,11,45
468,1628404,22101151,FT,missed,6,33
469,1628404,22101151,2PT,missed,6,20
470,1630591,22101151,3PT,missed,11,9
471,1642379,22101151,3PT,made,8,22
472,1642379,22101151,FT,made,7,21
473,203482,22101151,2PT,missed,2,28
474,1631321,22101151,3PT,made,8,51
475,1631321,22101151,FT,made,1,15
476,1631321,22101151,FT,missed,6,6
477,1631321,22101151,2PT,missed,6,17
478,1631321,22101151,FT,made,3,25
479,1630322,22101151,FT,made,9,0
480,1631323,22101151,2PT,missed,5,14
481,1630581,22101151,2PT,made,5,17
482,1630581,22101151,3PT,made,8,3
483,1630581,22101151,3PT,missed,7,51
484,1629750,22201030,3PT,missed,0,44
485,1629750,22201030,3PT,missed,9,3
486,1629750,22201030,3PT,missed,6,30
487,201959,22201030,2PT,missed,5,5
488,201959,22201030,FT,missed,7,31
489,201959,22201030,2PT,missed,11,53
490,201959,22201030,FT,made,11,38
491,201959,22201030,2PT,made,9,3
492,201599,22201030,2PT,missed,7,44
493,1641787,22201030,3PT,missed,0,31
494,1641787,22201030,FT,made,0,14
495,1641787,22201030,3PT,missed,6,18
496,1641787,22201030,3PT,missed,1,41
497,1641787,22201030,3PT,made,1,49
498,1629637,22201030,2PT,missed,7,3
499,201142,22201030,3PT,made,9,14
500,201142,22201030,2PT,missed,0,24
501,1642268,22201030,3PT,missed,5,19
502,1642268,22201030,FT,made,8,50
503,1642268,22201030,3PT,made,0,34
504,1642268,22201030,2PT,missed,1,47
505,203992,22201030,2PT,made,5,51
506,203992,22201030,3PT,missed,7,5
507,203992,22201030,2PT,made,1,31
508,203992,22201030,FT,missed,8,1
509,1641779,22201030,2PT,made,5,48
510,1641779,22201030,2PT,missed,7,29
511,1641779,22201030,3PT,made,9,56
512,1641779,22201030,3PT,made,9,35
513,1629630,22201030,2PT,made,2,22
514,1629630,22201030,2PT,made,3,28
515,1629630,22201030,2PT,made,11,35
516,1630631,22000181,FT,missed,9,0
517,1630631,22000181,FT,made,1,15
518,1630631,22000181,FT,missed,4,52
519,1642259,22000181,3PT,made,2,45
520,1642262,22000181,3PT,missed,6,41
521,1642262,22000181,2PT,missed,3,45
522,1629674,22000181,3PT,missed,0,29
523,1629674,22000181,3PT,missed,11,47
524,1629674,22000181,2PT,made,2,51
525,1642461,22000181,FT,made,6,28
526,1642461,22000181,2PT,missed,1,12
527,1642461,22000181,2PT,made,8,37
528,1642461,22000181,3PT,made,1,15
529,1642461,22000181,FT,missed,0,56
530,1629006,22000181,FT,missed,9,13
531,1629006,22000181,2PT,missed,2,20
532,1629006,22000181,3PT,made,8,58
533,1629006,22000181,2PT,missed,6,14
534,1627936,22000181,3PT,missed,10,55
535,1627936,22000181,FT,made,9,24
536,1627936,22000181,2PT,missed,11,34
537,1627936,22000181,FT,missed,0,33
538,203507,22000181,2PT,missed,5,24
539,1630591,22000181,3PT,made,8,55
540,1630591,22000181,3PT,made,3,30
541,1630591,22000181,3PT,made,5,49
542,1630591,22000181,FT,made,6,40
543,1630591,22000181,2PT,missed,6,21
544,1630288,22000181,2PT,missed,0,7
545,1630288,22000181,FT,made,9,39
546,1630288,22000181,2PT,missed,3,38
547,1630288,22000181,FT,made,3,2
548,1630288,22000181,FT,made,9,53
549,203083,22200701,2PT,missed,1,36
550,203083,22200701,2PT,made,8,10
551,203083,22200701,FT,made,9,7
552,1631255,22200701,3PT,made,4,18
553,1631255,22200701,3PT,missed,4,38
554,202331,22200701,2PT,missed,5,55
555,202331,22200701,2PT,missed,3,58
556,202331,22200701,3PT,made,11,43
557,202331,22200701,FT,missed,10,56
558,1642281,22200701,2PT,made,1,47
559,1642434,22200701,FT,made,6,1
560,1642434,22200701,FT,made,2,33
561,1642434,22200701,3PT,made,2,31
562,1642434,22200701,2PT,missed,11,12
563,1642434,22200701,FT,missed,2,6
564,1628398,22200701,2PT,missed,1,15
565,1628398,22200701,2PT,made,7,37
566,1628467,22200701,3PT,made,3,45
567,1628467,22200701,3PT,made,8,51
568,1628467,22200701,3PT,made,4,25
569,1628467,22200701,FT,missed,3,44
570,1628467,22200701,3PT,missed,8,25
571,1631169,22200701,FT,made,10,13
572,1631169,22200701,FT,made,5,40
573,1631169,22200701,FT,missed,4,50
574,1631169,22200701,3PT,made,9,31
575,1631169,22200701,3PT,made,4,57
576,1631119,22200701,3PT,made,1,22
577,1631119,22200701,FT,made,4,45
578,1631119,22200701,2PT,missed,1,40
579,1631119,22200701,FT,made,7,24
580,1628971,22200701,FT,missed,11,1
581,1628971,22200701,2PT,made,4,7
582,1628971,22200701,FT,made,3,51
583,1628971,22200701,FT,made,3,35
584,1628971,22200701,3PT,missed,6,58
585,1629018,22200384,3PT,missed,1,36
586,1629018,22200384,FT,missed,2,39
587,1629018,22200384,3PT,missed,2,59
588,1642259,22200384,FT,missed,2,43
589,1642259,22200384,FT,missed,3,34
590,1642259,22200384,3PT,made,10,54
591,1642259,22200384,FT,missed,10,55
592,1629632,22200384,2PT,made,0,55
593,1641725,22200384,FT,missed,5,1
594,1641725,22200384,2PT,made,10,22
595,1641725,22200384,2PT,made,10,43
596,1641725,22200384,3PT,made,5,25
597,1641725,22200384,2PT,made,1,46
598,1627746,22200384,2PT,missed,10,18
599,1627746,22200384,2PT,made,6,25
600,1642275,22200384,2PT,made,11,9
601,1642275,22200384,3PT,missed,2,6
602,1642275,22200384,2PT,missed,6,26
603,1642275,22200384,3PT,missed,5,17
604,1642275,22200384,3PT,made,10,26
605,201935,22200384,FT,made,11,42
606,203914,22200384,3PT,made,6,4
607,1642382,22200384,3PT,made,9,33
608,1642434,22200384,FT,missed,6,36
609,1642434,22200384,2PT,made,9,41
610,1642434,22200384,FT,made,3,12
611,1642434,22200384,3PT,made,11,0
612,1630322,21900800,FT,made,5,19
613,1630322,21900800,2PT,missed,9,50
614,1630322,21900800,2PT,made,4,44
615,1630322,21900800,FT,missed,4,39
616,1630322,21900800,3PT,made,9,42
617,1642281,21900800,2PT,made,6,23
618,1630559,21900800,FT,made,6,45
619,1630559,21900800,3PT,made,4,17
620,203458,21900800,3PT,made,3,14
621,203458,21900800,FT,made,6,38
622,203458,21900800,3PT,missed,6,59
623,1629622,21900800,2PT,made,3,52
624,1629622,21900800,3PT,missed,10,8
625,1629622,21900800,3PT,made,11,32
626,1629622,21900800,FT,missed,11,45
627,1629622,21900800,2PT,missed,1,12
628,1641738,21900800,3PT,made,0,0
629,1641738,21900800,2PT,missed,7,35
630,1641738,21900800,FT,missed,3,44
631,201939,21900800,3PT,made,1,49
632,1627759,21900800,3PT,missed,3,18
633,1627759,21900800,3PT,missed,4,1
634,1627759,21900800,FT,missed,2,18
635,1627759,21900800,3PT,made,6,8
636,1627759,21900800,3PT,missed,3,36
637,203081,21900800,2PT,made,3,12
638,203081,21900800,3PT,missed,0,34
639,203081,21900800,FT,missed,8,3
640,203482,21900800,FT,made,9,56
641,203482,21900800,FT,made,7,16
642,203482,21900800,3PT,made,6,22
643,1642274,22000570,2PT,missed,2,35
644,1642274,22000570,3PT,made,9,17
645,1630559,22000570,3PT,made,4,9
646,1630559,22000570,FT,made,3,38
647,1629006,22000570,FT,missed,6,21
648,1629006,22000570,FT,missed,0,4
649,1629006,22000570,FT,missed,4,41
650,1629008,22000570,3PT,made,9,46
651,1627734,22000570,3PT,missed,4,20
652,1641790,22000570,2PT,made,10,41
653,1641790,22000570,3PT,missed,0,50
654,1641790,22000570,3PT,made,1,14
655,1631117,22000570,2PT,made,4,2
656,1631117,22000570,FT,made,8,34
657,1631117,22000570,3PT,made,4,25
658,1631117,22000570,3PT,made,9,45
659,203952,22000570,3PT,missed,10,22
660,203952,22000570,3PT,missed,10,38
661,1629014,22000570,3PT,made,5,19
662,1641810,22000570,3PT,missed,3,18
663,1641810,22000570,2PT,made,5,23
664,1641810,22000570,3PT,made,4,11
665,1630551,22200409,3PT,made,6,5
666,1630551,22200409,3PT,made,4,14
667,1630551,22200409,FT,made,9,57
668,1630551,22200409,FT,made,2,55
669,1630545,22200409,FT,missed,2,39
670,1630545,22200409,3PT,missed,5,24
671,1630545,22200409,FT,made,6,23
672,1630545,22200409,3PT,missed,10,7
673,1630545,22200409,FT,missed,11,58
674,1631123,22200409,2PT,made,10,22
675,1631123,22200409,FT,made,1,47
676,1631123,22200409,FT,missed,5,42
677,1641767,22200409,2PT,missed,5,53
678,1641767,22200409,2PT,made,5,44
679,1641767,22200409,FT,made,8,25
680,1641767,22200409,FT,made,10,0
681,1629631,22200409,3PT,missed,6,26
682,1629631,22200409,2PT,missed,11,7
683,1629631,22200409,FT,missed,9,43
684,1629013,22200409,FT,made,4,18
685,1629013,22200409,3PT,made,6,5
686,1629013,22200409,2PT,made,10,1
687,1641747,22200409,2PT,missed,6,50
688,1641747,22200409,3PT,missed,3,5
689,1641747,22200409,3PT,made,8,40
690,1642274,22200409,FT,made,3,12
691,1642274,22200409,FT,missed,5,12
692,1642274,22200409,2PT,missed,1,44
693,1642274,22200409,3PT,made,6,39
694,1642274,22200409,FT,missed,4,32
695,1628415,22200409,2PT,missed,9,59
696,1628415,22200409,FT,made,0,23
